Path,Purpose,Status,Created,Last Modified,Last Modified By,Size,Imported By,Imports,Has ML Patterns,Touches Kernel,Touches L5,Production Deploy Artifact
FMM_CF.pdf,PDF document: FMM_CF.pdf,UNKNOWN,2026-03-21,2026-03-21,Codex,171158 bytes,,,NO,NO,NO,NO
FRONTEND_MIGRATION_PLAN.md,Documentation: FRONTEND MIGRATION PLAN,UNKNOWN,2026-03-21,2026-03-21,Codex,48 lines,,,NO,NO,NO,NO
GEMINI.md,Documentation: GEMINI,UNKNOWN,2026-03-26,2026-03-26,Codex,34 lines,DEPLOYMENT_REFERENCE.md; TFE_KERNEL_DIAGNOSTIC_20260526.md; web/src/lib/published-decision.ts,,NO,NO,NO,NO
INGESTION LAYER + DB SCHEMA.docx,Word document: INGESTION LAYER + DB SCHEMA.docx,UNKNOWN,2026-03-21,2026-03-21,Codex,42627 bytes,INGESTION_LAYER_DB_SCHEMA_extracted.txt,,NO,NO,NO,NO
INGESTION_LAYER_DB_SCHEMA_extracted.txt,Text: INGESTION_LAYER_DB_SCHEMA_extracted.txt,UNKNOWN,2026-03-21,2026-03-21,Codex,506 lines,corpora/production_shell_system_reference_v2.md,,NO,NO,NO,NO
Information_Resonance_Fields_and_Premonition__Like_Inference_in_High__Dimensional_Histories__A_Theoretical_Framework.pdf,PDF document: Information_Resonance_Fields_and_Premonition__Like_Inference_in_High__Dimensional_Histories__A_Theoretical_Framework.pdf,UNKNOWN,2026-03-21,2026-03-21,Codex,249482 bytes,,,NO,NO,NO,NO
KERNEL_PHILOSOPHY.md,"Canonical kernel philosophy document - structural perception, not prediction",UNKNOWN,2026-05-28,2026-05-28,Codex,267 lines,CHANGELOG.md; DOC_UPDATES_MAY28.md; PROJECT_STATE.md; TFE_STATE_OF_SYSTEM_AND_3WA_RISK_ASSESSMENT.md; web/scripts/execution/ch2_strategist.mjs," [ML FLAG: keras, lightgbm, prophet, scikit, sklearn, statsmodels, tensorflow, torch, xgboost]",YES,NO,YES,NO
L5_CANONICAL_BASELINE.md,Documentation: L5 CANONICAL BASELINE,UNKNOWN,2026-03-26,2026-03-26,Codex,47 lines,LOAD_DIRECTIVE_NEXT_CHAT.md; LOAD_DIRECTIVE_NEXT_CHAT_MAY19.md; PROJECT_STATE.md; TFE_AUDIT_MAY26_2026.md; web/scripts/execution/financial_rules.mjs,,NO,NO,YES,NO
L5_CURRENT_SYSTEM_FULL_SPEC.md,Documentation: L5 CURRENT SYSTEM FULL SPEC,UNKNOWN,2026-03-21,2026-03-21,Codex,517 lines,blocked_family_field_contracts_latest.json; current_l5_code_truth_to_spec_gap_latest.json; current_l5_code_truth_to_spec_gap_latest.md; epoch_state_contract_latest.json; quote_freshness_root_cause_latest.json; snapshot_event_contracts_latest.json; web/scripts/build_a54s_contract_artifacts.mjs; web/scripts/build_blocked_family_field_contract_artifacts.mjs; web/scripts/build_quote_freshness_root_cause_artifacts.mjs,,NO,YES,YES,NO
L5_CURRENT_SYSTEM_FULL_SPEC.tex,LaTeX source: L5_CURRENT_SYSTEM_FULL_SPEC.tex,UNKNOWN,2026-03-21,2026-03-21,Codex,1436 lines,blocked_family_field_contracts_latest.json; current_l5_code_truth_to_spec_gap_latest.json; current_l5_code_truth_to_spec_gap_latest.md; epoch_state_contract_latest.json; quote_freshness_root_cause_latest.json; snapshot_event_contracts_latest.json; web/scripts/build_a54s_contract_artifacts.mjs; web/scripts/build_blocked_family_field_contract_artifacts.mjs; web/scripts/build_quote_freshness_root_cause_artifacts.mjs,,NO,NO,YES,NO
L5_CURRENT_SYSTEM_FULL_SPEC_latex.zip,File: L5_CURRENT_SYSTEM_FULL_SPEC_latex.zip,UNKNOWN,2026-03-21,2026-03-21,Codex,9842 bytes,,,NO,NO,YES,NO
LOAD_DIRECTIVE_NEXT_CHAT.md,Documentation: LOAD DIRECTIVE NEXT CHAT,UNKNOWN,2026-03-13,2026-03-26,Codex,231 lines,DB_NATIVE_MIGRATION_CONTRACT.md; LOAD_DIRECTIVE_NEXT_CHAT_MAY19.md; PRODUCTION_EVALUATION_CONTRACT.md; PROJECT_REALIGNMENT_PROTOCOL.md; TFE_5_3_Implementation_Plan_v2_4.md; blocked_family_field_contracts_latest.json; epoch_state_contract_latest.json; snapshot_event_contracts_latest.json; structural_recency_contract_latest.json; structural_recency_member_registry_latest.json,,NO,NO,YES,NO
LOAD_DIRECTIVE_NEXT_CHAT_MAY19.md,Documentation: LOAD DIRECTIVE NEXT CHAT MAY19,UNKNOWN,2026-05-26,2026-05-26,Codex,58 lines,,,NO,NO,NO,NO
OVERNIGHT_DELIVERY_SPEC.md,Documentation: OVERNIGHT DELIVERY SPEC,UNKNOWN,2026-03-21,2026-03-21,Codex,48 lines,,,NO,NO,NO,NO
PRIMITIVE_DIRECT_FIELD_STATE_CALC_DRAFT.md,Documentation: PRIMITIVE DIRECT FIELD STATE CALC DRAFT,UNKNOWN,2026-03-21,2026-03-21,Codex,141 lines,,,NO,NO,NO,NO
PRODUCTION_EVALUATION_CONTRACT.md,Documentation: PRODUCTION EVALUATION CONTRACT,UNKNOWN,2026-03-13,2026-03-13,Codex,47 lines,LOAD_DIRECTIVE_NEXT_CHAT.md,,NO,NO,NO,NO
PROJECT_REALIGNMENT_PROTOCOL.docx,Word document: PROJECT_REALIGNMENT_PROTOCOL.docx,UNKNOWN,2026-03-21,2026-03-21,Codex,39628 bytes,,,NO,NO,NO,NO
PROJECT_REALIGNMENT_PROTOCOL.md,Documentation: PROJECT REALIGNMENT PROTOCOL,UNKNOWN,2026-02-22,2026-03-13,Codex,223 lines,,,NO,NO,NO,NO
PROJECT_STATE.md,Project state documentation,UNKNOWN,2026-05-27,2026-05-28,Codex,223 lines,CHANGELOG.md; DOC_UPDATES_MAY28.md; docs/VALIDATION_ENVIRONMENT_SPEC.md,,NO,NO,YES,NO
RNA3D Fold Stanford Challenge Kaggle Site Website Content.docx,Word document: RNA3D Fold Stanford Challenge Kaggle Site Website Content.docx,UNKNOWN,2026-03-21,2026-03-21,Codex,211214 bytes,,,NO,NO,NO,NO
SCE_Formal_Security_Model_v1_0.pdf,PDF document: SCE_Formal_Security_Model_v1_0.pdf,UNKNOWN,2026-03-21,2026-03-21,Codex,318796 bytes,,,NO,NO,NO,NO
SCE_Specification_v1_0.pdf,PDF document: SCE_Specification_v1_0.pdf,UNKNOWN,2026-03-21,2026-03-21,Codex,349911 bytes,ses_core/aead_backend.py,,NO,NO,NO,NO
Section 17-19.docx,Word document: Section 17-19.docx,UNKNOWN,2026-03-21,2026-03-21,Codex,21287 bytes,,,NO,NO,NO,NO
Section 20 Glossary.docx,Word document: Section 20 Glossary.docx,UNKNOWN,2026-03-21,2026-03-21,Codex,21031 bytes,,,NO,NO,NO,NO
Section 21.docx,Word document: Section 21.docx,UNKNOWN,2026-03-21,2026-03-21,Codex,928144 bytes,,,NO,NO,NO,NO
Section 22-23.docx,Word document: Section 22-23.docx,UNKNOWN,2026-03-21,2026-03-21,Codex,25514 bytes,,,NO,NO,NO,NO
Section13-Main.tex,LaTeX source: Section13-Main.tex,UNKNOWN,2026-03-21,2026-03-21,Codex,35 lines,,,NO,NO,NO,NO
Spider_Eyes_GD_FMM_Specification.pdf,PDF document: Spider_Eyes_GD_FMM_Specification.pdf,UNKNOWN,2026-03-21,2026-03-21,Codex,222632 bytes,,,NO,NO,NO,NO
Spider_Eyes_Multi_Eye_Specification.pdf,PDF document: Spider_Eyes_Multi_Eye_Specification.pdf,UNKNOWN,2026-03-21,2026-03-21,Codex,447269 bytes,,,NO,NO,NO,NO
TFE_5_3_Implementation Plan v2.6.md,Documentation: TFE 5 3 Implementation Plan v2.6,UNKNOWN,2026-03-21,2026-03-21,Codex,408 lines,,,NO,NO,NO,NO
TFE_5_3_Implementation_Plan_v1_1.md,Documentation: TFE 5 3 Implementation Plan v1 1,UNKNOWN,2026-03-21,2026-03-21,Codex,449 lines,,,NO,NO,NO,NO
TFE_5_3_Implementation_Plan_v2_0.md,Documentation: TFE 5 3 Implementation Plan v2 0,UNKNOWN,2026-03-21,2026-03-21,Codex,430 lines,,,NO,NO,NO,NO
TFE_5_3_Implementation_Plan_v2_2 (1).md,Documentation: TFE 5 3 Implementation Plan v2 2 (1),UNKNOWN,2026-03-21,2026-03-21,Codex,344 lines,,,NO,NO,NO,NO
TFE_5_3_Implementation_Plan_v2_2.md,Documentation: TFE 5 3 Implementation Plan v2 2,UNKNOWN,2026-03-21,2026-03-21,Codex,344 lines,,,NO,NO,NO,NO
TFE_5_3_Implementation_Plan_v2_3.md,Documentation: TFE 5 3 Implementation Plan v2 3,UNKNOWN,2026-03-21,2026-03-21,Codex,378 lines,,,NO,NO,NO,NO
TFE_5_3_Implementation_Plan_v2_4.md,Documentation: TFE 5 3 Implementation Plan v2 4,UNKNOWN,2026-03-21,2026-03-21,Codex,368 lines,admin_rulebook_coverage_latest.json; blocked_family_field_contracts_latest.json; current_l5_code_truth_to_spec_gap_latest.json; current_l5_code_truth_to_spec_gap_latest.md; epoch_sidecar_projection_contract_latest.md; epoch_state_contract_latest.json; epoch_state_enum_registry_latest.json; heuristics_registry_v1.json; information_event_registry_v1.json; long_side_subfamily_contracts_latest.json,,NO,NO,NO,NO
TFE_5_3_Implementation_Plan_v2_5.md,Documentation: TFE 5 3 Implementation Plan v2 5,UNKNOWN,2026-03-21,2026-03-21,Codex,189 lines,,,NO,NO,NO,NO
TFE_ADMIN_CONSOLE_SPEC.md,Documentation: TFE ADMIN CONSOLE SPEC,UNKNOWN,2026-03-21,2026-03-21,Codex,132 lines,TFE_TASK5_BEHAVIOR_GAP_REPORT.md,,NO,NO,NO,NO
TFE_AUDIT_MAY26_2026.md,Documentation: TFE AUDIT MAY26 2026,UNKNOWN,2026-05-26,2026-05-26,Codex,192 lines,,,NO,NO,NO,NO
TFE_Global_Market_Engine_Summary.docx,Word document: TFE_Global_Market_Engine_Summary.docx,UNKNOWN,2026-03-21,2026-03-21,Codex,34228 bytes,,,NO,NO,NO,NO
TFE_KERNEL_DIAGNOSTIC_20260526.md,Documentation: TFE KERNEL DIAGNOSTIC 20260526,UNKNOWN,2026-05-26,2026-05-26,Codex,302 lines,,,NO,YES,YES,NO
TFE_REARCHITECTURE_MASTER_PLAN_v2_7.md,Documentation: TFE REARCHITECTURE MASTER PLAN v2 7,UNKNOWN,2026-03-21,2026-03-21,Codex,523 lines,corpora/production_shell_system_reference_v2.md,,NO,NO,NO,NO
TFE_SOURCE_PACKAGE_FOR_REVIEW.md,Documentation: TFE SOURCE PACKAGE FOR REVIEW,UNKNOWN,untracked,untracked,untracked,5045 lines,,,NO,YES,YES,NO
TFE_SPECIFICATION.md,Documentation: TFE SPECIFICATION,UNKNOWN,2026-03-21,2026-03-21,Codex,60 lines,,,NO,NO,NO,NO
TFE_STATE_OF_SYSTEM_AND_3WA_RISK_ASSESSMENT.md,Documentation: TFE STATE OF SYSTEM AND 3WA RISK ASSESSMENT,UNKNOWN,untracked,untracked,untracked,307 lines,PROJECT_STATE.md,,NO,YES,YES,NO
TFE_SUBSCRIPTION_AND_CART_SPEC.md,Documentation: TFE SUBSCRIPTION AND CART SPEC,UNKNOWN,2026-03-21,2026-03-21,Codex,122 lines,TFE_TASK5_BEHAVIOR_GAP_REPORT.md,,NO,NO,NO,NO
TFE_Spec_Internal_Review_v2_0 (1).md,Documentation: TFE Spec Internal Review v2 0 (1),UNKNOWN,2026-03-21,2026-03-21,Codex,159 lines,,,NO,NO,NO,NO
TFE_Spec_Internal_Review_v2_0.md,Documentation: TFE Spec Internal Review v2 0,UNKNOWN,2026-03-21,2026-03-21,Codex,159 lines,,,NO,NO,NO,NO
TFE_Spec_Internal_Review_v2_2 (1).md,Documentation: TFE Spec Internal Review v2 2 (1),UNKNOWN,2026-03-21,2026-03-21,Codex,183 lines,,,NO,NO,NO,NO
TFE_Spec_Internal_Review_v2_2.md,Documentation: TFE Spec Internal Review v2 2,UNKNOWN,2026-03-21,2026-03-21,Codex,183 lines,,,NO,NO,NO,NO
TFE_Spec_Internal_Review_v2_3.md,Documentation: TFE Spec Internal Review v2 3,UNKNOWN,2026-03-21,2026-03-21,Codex,212 lines,,,NO,NO,NO,NO
